experiment,case,instance_class,N,target_kappa,actual_kappa,eps_target,seed,certify_terminal,certificate_tol,effective_terminal_eps,total_iters,fwd_phases,rev_phases,runtime_sec,matched_pairs,object_terminal_certificate_passed_warm,terminal_certificate_passed_warm,terminal_fallback_used,cs_violation,feasible,outside_i_exact_error,outside_j_exact_error,outside_i_upper_ok,outside_j_upper_ok,matched_pair_error,object_terminal_certificate_passed_final,terminal_certificate_passed_final,full_equilibrium_diagnostic_passed
baseline,TU,TU,50,1,1.0,0.001,13,True,0.0,0.001,190,9,8,0.013426040997728705,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,14,True,0.0,0.001,311,9,8,0.021034207893535495,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,15,True,0.0,0.001,265,9,8,0.017277291975915432,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,16,True,0.0,0.001,252,9,8,0.01809804211370647,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,17,True,0.0,0.001,297,9,8,0.019734250148758292,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,18,True,0.0,0.001,207,9,8,0.014634541934356093,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,19,True,0.0,0.001,235,9,8,0.01608687499538064,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,20,True,0.0,0.001,225,9,8,0.015899375081062317,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,21,True,0.0,0.001,221,9,8,0.0159190830308944,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,22,True,0.0,0.001,260,9,8,0.017006790963932872,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,23,True,0.0,0.001,354,9,8,0.023229375015944242,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,24,True,0.0,0.001,204,9,8,0.015000665793195367,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,25,True,0.0,0.001,282,9,8,0.01967879105359316,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,26,True,0.0,0.001,220,9,8,0.014950750162824988,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,27,True,0.0,0.001,217,9,8,0.014984209090471268,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,28,True,0.0,0.001,305,9,8,0.02108566602692008,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,29,True,0.0,0.001,270,9,8,0.017970750108361244,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,30,True,0.0,0.001,201,9,8,0.014295582892373204,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,1,True,0.0,0.0001,257,11,9,0.017291625030338764,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,2,True,0.0,0.0001,322,11,9,0.02356754196807742,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,3,True,0.0,0.0001,289,11,9,0.019090374931693077,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,4,True,0.0,0.0001,233,11,9,0.01569391693919897,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
