experiment,case,instance_class,N,target_kappa,eps_target,seeds,actual_kappa_mean,actual_kappa_sd,iterations_mean,iterations_sd,runtime_sec_mean,runtime_sec_sd,fwd_phases,rev_phases,cs_violation_max
baseline,LTU(kappa=10),LTU,50,10,0.01,30,9.96836125055949,0.028031019268557524,201.43333333333334,71.16647958197703,0.014662410970777274,0.004670325162209803,14,14,0.0
baseline,LTU(kappa=10),LTU,50,10,0.1,30,9.96836125055949,0.028031019268557524,141.93333333333334,40.39625565896384,0.010267229153153796,0.002607525872304677,10,10,0.0
baseline,TU,TU,50,1,1e-06,30,1.0,0.0,400.1,95.92825983245375,0.02632969160719464,0.005731236577499451,27,27,0.0
baseline,TU,TU,50,1,1e-05,30,1.0,0.0,364.8666666666667,77.85429952175402,0.024021434799457588,0.004623625828894775,24,24,0.0
baseline,TU,TU,50,1,0.0001,30,1.0,0.0,318.1666666666667,55.769898773401074,0.020862777655323347,0.0033211588760745318,20,20,0.0
baseline,TU,TU,50,1,0.001,30,1.0,0.0,283.26666666666665,42.831613633352426,0.018386229251821835,0.0025639628064792505,17,17,0.0
baseline,TU,TU,50,1,0.01,30,1.0,0.0,249.3,36.23691202494286,0.016167965337323644,0.00219880263733913,14,14,0.0
baseline,TU,TU,50,1,0.1,30,1.0,0.0,171.63333333333333,35.128810588081876,0.011656663838463525,0.002215030762318452,10,10,0.0
robustness,"LTU(N=100,kappa=1000)",LTU,100,1000,1e-06,30,907.3200602213542,87.73413917487545,373.5,104.22745352816366,0.04036990983101229,0.006990517979950125,27,27,0.0
robustness,"LTU(N=100,kappa=1000)",LTU,100,1000,1e-05,30,907.3200602213542,87.73413917487545,352.46666666666664,97.84425813799557,0.038850805489346385,0.006757498770190646,24,24,0.0
robustness,"LTU(N=100,kappa=1000)",LTU,100,1000,0.0001,30,907.3200602213542,87.73413917487545,320.5,89.92937842245034,0.03454607913736254,0.006533552492342834,20,20,0.0
robustness,"LTU(N=100,kappa=1000)",LTU,100,1000,0.001,30,907.3200602213542,87.73413917487545,294.1666666666667,83.96513370537154,0.03080683605900655,0.005589926445252606,17,17,0.0
robustness,"LTU(N=100,kappa=1000)",LTU,100,1000,0.01,30,907.3200602213542,87.73413917487545,279.7,97.38836225878468,0.028245572241333623,0.006952300785453958,14,14,0.0
robustness,"LTU(N=100,kappa=10000)",LTU,100,10000,1e-06,30,5950.077591959635,2599.0175102055955,377.76666666666665,120.04817519569421,0.04101516110822558,0.008181207063793909,27,27,0.0
robustness,"LTU(N=100,kappa=10000)",LTU,100,10000,1e-05,30,5950.077591959635,2599.0175102055955,354.6333333333333,115.56084629061134,0.03826536937461545,0.008629242913974253,24,24,0.0
robustness,"LTU(N=100,kappa=10000)",LTU,100,10000,0.0001,30,5950.077591959635,2599.0175102055955,321.03333333333336,111.54726331928985,0.034878204196381074,0.013140823792446622,20,20,0.0
robustness,"LTU(N=100,kappa=10000)",LTU,100,10000,0.001,30,5950.077591959635,2599.0175102055955,291.7,109.5004802382793,0.02922220145507405,0.007416753883805389,17,17,0.0
robustness,"LTU(N=100,kappa=10000)",LTU,100,10000,0.01,30,5950.077591959635,2599.0175102055955,110.6,13.780546007900488,0.015363773563876748,0.0010417347573270538,14,14,0.0
robustness,"LTU(N=200,kappa=1000)",LTU,200,1000,1e-06,30,966.520595296224,26.690088182181334,683.4666666666667,205.48911093448157,0.0735388304805383,0.01342035031896951,27,27,0.0
robustness,"LTU(N=200,kappa=1000)",LTU,200,1000,1e-05,30,966.520595296224,26.690088182181334,651.0333333333333,198.07391224652397,0.06774457082307588,0.01343377363564727,24,24,0.0
robustness,"LTU(N=200,kappa=1000)",LTU,200,1000,0.0001,30,966.520595296224,26.690088182181334,605.8,187.8510782141186,0.05939696105197072,0.012657250374045149,20,20,0.0
robustness,"LTU(N=200,kappa=1000)",LTU,200,1000,0.001,30,966.520595296224,26.690088182181334,568.7666666666667,183.892337942675,0.0568173555812488,0.013169713391875696,17,17,0.0
robustness,"LTU(N=200,kappa=1000)",LTU,200,1000,0.01,30,966.520595296224,26.690088182181334,537.1,194.55366248469056,0.05253380556435635,0.01335542686130567,14,14,0.0
robustness,"LTU(N=200,kappa=10000)",LTU,200,10000,1e-06,30,7676.686442057292,1436.7667729955285,684.6666666666666,206.83115441533852,0.07319560413404057,0.014529013257133096,27,27,0.0
robustness,"LTU(N=200,kappa=10000)",LTU,200,10000,1e-05,30,7676.686442057292,1436.7667729955285,651.2333333333333,201.56348932751948,0.0681612346554175,0.013041842531259208,24,24,0.0
robustness,"LTU(N=200,kappa=10000)",LTU,200,10000,0.0001,30,7676.686442057292,1436.7667729955285,602.7666666666667,194.75336893785348,0.05939222618471831,0.013006424560690141,20,20,0.0
robustness,"LTU(N=200,kappa=10000)",LTU,200,10000,0.001,30,7676.686442057292,1436.7667729955285,571.1333333333333,206.52339490643223,0.055692250025458634,0.013574412256294358,17,17,0.0
robustness,"LTU(N=200,kappa=10000)",LTU,200,10000,0.01,30,7676.686442057292,1436.7667729955285,231.36666666666667,41.63924154906774,0.029683761089108883,0.0030120405773648848,14,14,0.0
robustness,"LTU(N=50,kappa=1000)",LTU,50,1000,1e-06,30,796.5125172932943,149.0561624326836,222.73333333333332,62.89176983233719,0.017537086045679946,0.00413492764511517,27,27,0.0
robustness,"LTU(N=50,kappa=1000)",LTU,50,1000,1e-05,30,796.5125172932943,149.0561624326836,206.33333333333334,55.62766201818296,0.016242695910235246,0.003628367174217115,24,24,0.0
robustness,"LTU(N=50,kappa=1000)",LTU,50,1000,0.0001,30,796.5125172932943,149.0561624326836,181.1,46.37058371945256,0.01400178213759015,0.003070215560146394,20,20,0.0
robustness,"LTU(N=50,kappa=1000)",LTU,50,1000,0.001,30,796.5125172932943,149.0561624326836,160.03333333333333,38.58486690430574,0.012677554118757447,0.0026375223182053364,17,17,0.0
robustness,"LTU(N=50,kappa=1000)",LTU,50,1000,0.01,30,796.5125172932943,149.0561624326836,143,43.002806644570825,0.011046683291594188,0.002859744276518061,14,14,0.0
robustness,"LTU(N=50,kappa=10000)",LTU,50,10000,1e-06,30,3769.0281311035155,2290.9925207239025,208.53333333333333,56.25541097857002,0.016287480597384274,0.00370116433103923,27,27,0.0
robustness,"LTU(N=50,kappa=10000)",LTU,50,10000,1e-05,30,3769.0281311035155,2290.9925207239025,192.06666666666666,53.890011443061816,0.015148317976854741,0.003600228432050876,24,24,0.0
robustness,"LTU(N=50,kappa=10000)",LTU,50,10000,0.0001,30,3769.0281311035155,2290.9925207239025,167.8,50.41989207883511,0.013350692996755242,0.003497758981216842,20,20,0.0
robustness,"LTU(N=50,kappa=10000)",LTU,50,10000,0.001,30,3769.0281311035155,2290.9925207239025,145.16666666666666,46.82254344557378,0.011496927721115451,0.0030098495315330214,17,17,0.0
robustness,"LTU(N=50,kappa=10000)",LTU,50,10000,0.01,30,3769.0281311035155,2290.9925207239025,67.13333333333334,5.48184044939687,0.00583986535978814,0.0003764829287740264,14,14,0.0
